Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,-0.21,-0.00002,0
0.1,0.004,3.4,-0.00002,0
0.2,0.014,60.6,0.00001,0.00001
0.3,0.024,202.23,0.00005,0.00002
0.4,0.034,290.33,0.00007,0.00003
0.5,0.042,355.32,0.00009,0.00004
0.6,0.05,394.54,0.0001,0.00005
0.7,0.059,425.19,0.00011,0.00005
0.8,0.067,453.24,0.00012,0.00005
0.9,0.075,466.03,0.00013,0.00006
1,0.084,471.64,0.00013,0.00006
1.1,0.092,474.27,0.00013,0.00006
1.2,0.1,475.97,0.00013,0.00006
1.3,0.109,475.79,0.00013,0.00006
1.4,0.117,474.79,0.00013,0.00006
1.5,0.125,475.49,0.00013,0.00006
1.6,0.134,475.7,0.00012,0.00006
1.7,0.142,473.71,0.00012,0.00006
1.8,0.15,473.73,0.00012,0.00006
1.9,0.159,475.86,0.00012,0.00006
2,0.167,474.45,0.00012,0.00006
2.1,0.175,475.97,0.00011,0.00006
2.2,0.184,476.35,0.00012,0.00006
2.3,0.192,477.14,0.00012,0.00006
2.4,0.2,476.39,0.00011,0.00006
2.5,0.209,477.05,0.00011,0.00007
2.6,0.217,477.39,0.00011,0.00007
2.7,0.225,478.07,0.00012,0.00007
2.8,0.233,477.67,0.00011,0.00007
2.9,0.242,479.29,0.00012,0.00007
3,0.25,480.39,0.00012,0.00007
3.1,0.259,482.46,0.00012,0.00007
3.2,0.267,488.92,0.00012,0.00007
3.3,0.275,490.47,0.00012,0.00007
3.4,0.284,497.93,0.00013,0.00007
3.5,0.292,507.27,0.00012,0.00008
3.6,0.3,515.74,0.00013,0.00008
3.7,0.309,526.21,0.00013,0.00008
3.8,0.317,536.12,0.00014,0.00008
3.9,0.325,540.44,0.00014,0.00008
4,0.334,549.09,0.00014,0.00009
4.1,0.342,560.78,0.00014,0.00009
4.2,0.35,570.89,0.00014,0.00009
4.3,0.359,582.65,0.00015,0.00009
4.4,0.367,599.82,0.00015,0.00009
4.5,0.375,618.47,0.00015,0.00009
4.6,0.383,650.62,0.00015,0.00009
4.7,0.392,673.53,0.00016,0.0001
4.8,0.4,696.44,0.00016,0.0001
4.9,0.409,710.94,0.00016,0.0001
5,0.417,720.57,0.00016,0.0001
5.1,0.425,733.54,0.00016,0.0001
5.2,0.433,742.02,0.00016,0.0001
5.3,0.442,754.28,0.00016,0.0001
5.4,0.45,764.09,0.00017,0.00011
5.5,0.458,780.74,0.00017,0.00011
5.6,0.467,792.84,0.00017,0.00011
5.7,0.475,809.15,0.00018,0.00011
5.8,0.484,817.72,0.00018,0.00011
5.9,0.492,835.1,0.00018,0.00011
6,0.5,845.41,0.00018,0.00011
6.1,0.509,854.09,0.00018,0.00012
6.2,0.517,860.65,0.00018,0.00011
6.3,0.525,864.48,0.00018,0.00012
6.4,0.534,872.1,0.00018,0.00012
6.5,0.542,875.39,0.00018,0.00012
6.6,0.55,878.93,0.00018,0.00012
6.7,0.558,886.59,0.00018,0.00012
6.8,0.567,910.66,0.00018,0.00012
6.9,0.575,923.01,0.00018,0.00012
7,0.584,938.25,0.00018,0.00012
7.1,0.592,955.06,0.00019,0.00012
7.2,0.6,969.31,0.00019,0.00012
7.3,0.609,987.76,0.00019,0.00012
7.4,0.617,996.06,0.00019,0.00012
7.5,0.625,1005.93,0.00019,0.00013
7.6,0.634,1010.54,0.00019,0.00013
7.7,0.642,1013.45,0.00018,0.00013
7.8,0.65,1017.94,0.00019,0.00013
7.9,0.658,1021.38,0.00018,0.00013
8,0.667,1025.96,0.00018,0.00013
8.1,0.675,1028.13,0.00019,0.00013
8.2,0.684,1032.16,0.00019,0.00013
8.3,0.692,1034.47,0.00019,0.00013
8.4,0.7,1037.25,0.00019,0.00013
8.5,0.709,1041.26,0.00019,0.00013
8.6,0.717,1048.28,0.00019,0.00013
8.7,0.725,1052.52,0.00019,0.00014
8.8,0.733,1054.78,0.00019,0.00014
8.9,0.742,1058.42,0.00019,0.00014
9,0.75,1063.19,0.0002,0.00014
9.1,0.758,1068.15,0.00019,0.00014
9.2,0.767,1073.83,0.0002,0.00014
9.3,0.775,1074.2,0.0002,0.00014
9.4,0.783,1077.4,0.0002,0.00014
9.5,0.792,1084.36,0.0002,0.00014
9.6,0.8,1083.81,0.0002,0.00014
9.7,0.809,1087.46,0.0002,0.00015
9.8,0.817,1087.32,0.0002,0.00015
9.9,0.825,1085.85,0.0002,0.00014
10,0.834,1087.86,0.0002,0.00015
10.1,0.842,1087.06,0.00019,0.00015
10.2,0.85,1088.44,0.00019,0.00014
10.3,0.859,1083.35,0.00019,0.00014
