Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,-2.33,0,0
0.1,0.003,9.38,0,0
0.2,0.013,206.5,0.00004,0.00001
0.3,0.024,300.9,0.0001,0.00002
0.4,0.033,355.31,0.00013,0.00003
0.5,0.042,376.05,0.00016,0.00003
0.6,0.05,380.51,0.00019,0.00004
0.7,0.059,395.69,0.00021,0.00004
0.8,0.067,418.81,0.00023,0.00004
0.9,0.075,436.76,0.00025,0.00004
1,0.084,456.93,0.00026,0.00004
1.1,0.092,489.01,0.00028,0.00004
1.2,0.1,525.19,0.00029,0.00004
1.3,0.109,567.03,0.0003,0.00004
1.4,0.117,607.72,0.00031,0.00004
1.5,0.125,636.09,0.00033,0.00005
1.6,0.134,659,0.00033,0.00005
1.7,0.142,690.79,0.00034,0.00005
1.8,0.15,721.72,0.00036,0.00005
1.9,0.159,756.87,0.00038,0.00005
2,0.167,802.89,0.00039,0.00006
2.1,0.175,866.96,0.00041,0.00006
2.2,0.184,912.19,0.00042,0.00006
2.3,0.192,938.21,0.00044,0.00006
2.4,0.2,953.51,0.00046,0.00007
2.5,0.208,971.57,0.00048,0.00007
2.6,0.217,985.21,0.00049,0.00007
2.7,0.225,994.43,0.00051,0.00007
2.8,0.233,1002.61,0.00053,0.00008
2.9,0.242,1024.64,0.00055,0.00008
3,0.25,1059.39,0.00057,0.00008
3.1,0.259,1101.6,0.00059,0.00008
3.2,0.267,1136.74,0.0006,0.00008
3.3,0.275,1173.86,0.00062,0.00008
3.4,0.284,1218.62,0.00064,0.00008
3.5,0.292,1250.33,0.00066,0.00004
3.6,0.3,1296.72,0.00067,0.00004
3.7,0.309,1355.89,0.00069,0.00004
3.8,0.317,1416.63,0.00071,0.00005
3.9,0.325,1439.03,0.00073,0.00005
4,0.334,1457.81,0.00075,0.00005
4.1,0.342,1482.65,0.00076,0.00005
4.2,0.35,1510.2,0.00078,0.00005
4.3,0.359,1548.24,0.0008,0.00006
4.4,0.367,1591.83,0.00082,0.00006
4.5,0.375,1647.06,0.00083,0.00006
4.6,0.383,1679.37,0.00085,0.00006
4.7,0.392,1716.27,0.00087,0.00007
4.8,0.4,1757.13,0.00088,0.00007
4.9,0.408,1788,0.0009,0.00007
5,0.417,1836.11,0.00091,0.00007
5.1,0.425,1890.5,0.00093,0.00008
5.2,0.433,1925.63,0.00095,0.00008
5.3,0.442,1942.22,0.00096,0.00007
5.4,0.45,1954.67,0.00097,0.00007
5.5,0.458,1974.33,0.00099,0.00008
5.6,0.467,2015.51,0.001,0.00008
5.7,0.475,2088.07,0.00101,0.00008
5.8,0.483,2155.17,0.00103,0.00008
5.9,0.492,2223.42,0.00104,0.00008
6,0.5,2281.25,0.00106,0.00009
6.1,0.508,2326.32,0.00107,0.00009
6.2,0.517,2362.25,0.00108,0.00009
6.3,0.525,2415.22,0.00109,0.00009
6.4,0.534,2459.37,0.00111,0.00009
6.5,0.542,2481.14,0.00112,0.00009
6.6,0.55,2499.74,0.00113,0.0001
6.7,0.558,2527.44,0.00115,0.0001
6.8,0.567,2568.14,0.00116,0.0001
6.9,0.575,2639.05,0.00117,0.0001
7,0.584,2683.97,0.00118,0.0001
7.1,0.592,2747.89,0.0012,0.0001
