Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,4.2,0,0
0.1,0.004,35.23,0,0
0.2,0.014,490.7,0.00003,0.00001
0.3,0.024,1024.15,0.00008,0.00003
0.4,0.034,1312.79,0.00011,0.00003
0.5,0.042,1407.53,0.00013,0.00003
0.6,0.05,1632.38,0.00015,0.00003
0.7,0.059,1814.67,0.00017,0.00003
0.8,0.067,1922.27,0.00018,0.00004
0.9,0.075,2001.35,0.0002,0.00004
1,0.084,2146.78,0.00021,0.00004
1.1,0.092,2318.66,0.00023,0.00004
1.2,0.1,2456.76,0.00025,0.00004
1.3,0.109,2514.33,0.00027,0.00004
1.4,0.117,2626.69,0.00028,0.00004
1.5,0.125,2783.37,0.0003,0.00005
1.6,0.134,2899.17,0.00031,0.00005
1.7,0.142,2949.68,0.00031,0.00005
1.8,0.15,3097.07,0.00033,0.00006
1.9,0.159,3213.38,0.00034,0.00006
2,0.167,3315.85,0.00035,0.00006
2.1,0.175,3460.27,0.00036,0.00006
2.2,0.183,3504.66,0.00037,0.00007
2.3,0.192,3622.86,0.00038,0.00007
2.4,0.2,3760.26,0.00039,0.00007
2.5,0.209,3907.75,0.00041,0.00007
2.6,0.217,3977.6,0.00041,0.00007
2.7,0.225,4019.9,0.00043,0.00007
2.8,0.233,4206.32,0.00043,0.00008
2.9,0.242,4311.72,0.00045,0.00008
3,0.25,4437.06,0.00045,0.00008
3.1,0.258,4522.44,0.00047,0.00008
3.2,0.267,4603.8,0.00048,0.00009
3.3,0.275,4708.58,0.00049,0.00009
3.4,0.283,4861.89,0.0005,0.00009
3.5,0.292,5010.36,0.00051,0.00009
3.6,0.3,5055.38,0.00052,0.00009
3.7,0.309,5171.09,0.00053,0.0001
3.8,0.317,5315.36,0.00054,0.0001
3.9,0.325,5430.55,0.00055,0.0001
4,0.334,5507.5,0.00056,0.0001
4.1,0.342,5623.1,0.00057,0.00011
4.2,0.35,5770.86,0.00058,0.00011
4.3,0.359,5896.36,0.00059,0.00011
4.4,0.367,6008.41,0.0006,0.00011
4.5,0.375,6057.49,0.00061,0.00012
4.6,0.384,6171.51,0.00062,0.00012
4.7,0.392,6338.42,0.00063,0.00012
4.8,0.4,6518.6,0.00064,0.00012
4.9,0.408,6579.04,0.00065,0.00012
5,0.417,6648.62,0.00066,0.00012
5.1,0.425,6765.22,0.00067,0.00013
5.2,0.434,6882.17,0.00068,0.00013
5.3,0.442,7058.72,0.00069,0.00013
5.4,0.45,7131.12,0.00069,0.00013
5.5,0.458,7270.22,0.0007,0.00014
5.6,0.467,7396.85,0.00071,0.00014
5.7,0.475,7488.42,0.00072,0.00014
5.8,0.484,7560.5,0.00073,0.00014
5.9,0.492,7667.03,0.00074,0.00014
6,0.5,7820.94,0.00075,0.00015
6.1,0.508,7984.55,0.00076,0.00015
6.2,0.517,8113.86,0.00077,0.00015
6.3,0.525,8123.11,0.00078,0.00015
6.4,0.534,8245.26,0.00078,0.00015
6.5,0.542,8403,0.0008,0.00015
6.6,0.55,8579.01,0.0008,0.00016
6.7,0.558,8665.07,0.00081,0.00016
6.8,0.567,8801.07,0.00082,0.00016
6.9,0.575,8874.43,0.00083,0.00016
7,0.583,8984.58,0.00084,0.00016
7.1,0.592,9124.66,0.00085,0.00016
7.2,0.6,9221.98,0.00086,0.00016
7.3,0.609,9401.71,0.00087,0.00016
7.4,0.617,9558.22,0.00088,0.00016
7.5,0.625,9626.88,0.00088,0.00016
7.6,0.633,9654.94,0.0009,0.00017
7.7,0.642,9845.05,0.0009,0.00017
7.8,0.65,10002.05,0.00091,0.00017
7.9,0.659,10173.67,0.00093,0.00017
8,0.667,10242.33,0.00093,0.00018
8.1,0.675,10331.08,0.00094,0.00018
8.2,0.683,10452.96,0.00095,0.00018
8.3,0.692,10639.02,0.00096,0.00018
8.4,0.7,10734.16,0.00097,0.00018
8.5,0.709,10893.49,0.00098,0.00018
8.6,0.717,11026.11,0.00098,0.00019
8.7,0.725,11121.74,0.001,0.00019
8.8,0.733,11196.97,0.001,0.00019
8.9,0.742,11370.42,0.00101,0.00019
9,0.75,11542.32,0.00102,0.0002
9.1,0.758,11713.62,0.00103,0.0002
9.2,0.767,11746.93,0.00104,0.0002
9.3,0.775,11865.92,0.00105,0.0002
9.4,0.783,12006.68,0.00106,0.0002
9.5,0.792,12200.9,0.00107,0.0002
9.6,0.8,12295.51,0.00108,0.0002
9.7,0.808,12441.4,0.00109,0.00021
9.8,0.817,12543.13,0.0011,0.00021
9.9,0.825,12694.97,0.00111,0.00021
10,0.834,12777.37,0.00112,0.00021
10.1,0.842,12968.29,0.00113,0.00022
10.2,0.85,13118.23,0.00114,0.00022
10.3,0.858,13244.43,0.00114,0.00022
10.4,0.867,13312.53,0.00115,0.00022
10.5,0.875,13459.29,0.00116,0.00023
10.6,0.884,13646.14,0.00117,0.00023
10.7,0.892,13792.37,0.00118,0.00023
10.8,0.9,13855.7,0.00119,0.00023
10.9,0.908,14016.02,0.0012,0.00024
11,0.917,14174.29,0.00121,0.00024
11.1,0.925,14277.21,0.00122,0.00024
11.2,0.934,14421.47,0.00123,0.00024
11.3,0.942,14575.06,0.00124,0.00024
11.4,0.95,14734.72,0.00125,0.00025
11.5,0.958,14819.33,0.00126,0.00025
11.6,0.967,14939.1,0.00127,0.00025
11.7,0.975,15134.48,0.00128,0.00025
11.8,0.984,15293.93,0.0013,0.00026
11.9,0.992,15342.05,0.0013,0.00026
12,1,15531.45,0.00132,0.00026
12.1,1.009,15663.16,0.00133,0.00026
12.2,1.017,15832.97,0.00134,0.00027
12.3,1.025,15893.62,0.00135,0.00027
12.4,1.033,16045.41,0.00137,0.00027
12.5,1.042,16250.77,0.00137,0.00027
12.6,1.05,16358.12,0.00138,0.00027
12.7,1.059,16460.71,0.0014,0.00028
12.8,1.067,16637.86,0.00141,0.00028
12.9,1.075,16776.22,0.00142,0.00028
13,1.083,16888.23,0.00144,0.00028
13.1,1.092,17043.73,0.00145,0.00029
13.2,1.1,17193.99,0.00146,0.00029
13.3,1.109,17350.97,0.00148,0.00029
13.4,1.117,17393.94,0.00149,0.00029
13.5,1.125,17581.14,0.0015,0.0003
13.6,1.133,17766.72,0.00152,0.0003
13.7,1.142,17888.63,0.00153,0.0003
13.8,1.15,17962.68,0.00154,0.0003
13.9,1.158,18123.35,0.00156,0.00031
14,1.167,18296.2,0.00158,0.00031
14.1,1.175,18434.15,0.00159,0.00031
14.2,1.183,18556.75,0.00161,0.00031
14.3,1.192,18707.99,0.00162,0.00032
14.4,1.2,18849.04,0.00164,0.00032
14.5,1.208,18940.78,0.00165,0.00032
14.6,1.217,19105.53,0.00167,0.00032
14.7,1.225,19297.87,0.00168,0.00033
