Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,-1.31,-0.00001,0
0.1,0.003,0.55,0,0
0.2,0.013,11.62,0.00003,0
0.3,0.024,26.85,0.00009,0
0.4,0.033,41.28,0.00013,0
0.5,0.042,61.55,0.00018,0.00001
0.6,0.05,84.1,0.00022,0.00001
0.7,0.058,105.98,0.00025,0.00001
0.8,0.067,129.01,0.00029,0.00001
0.9,0.075,145.67,0.00033,0.00001
1,0.084,169.23,0.00037,0.00001
1.1,0.092,190.99,0.00041,0.00001
1.2,0.1,210,0.00045,0.00001
1.3,0.108,222.4,0.00049,0.00002
1.4,0.117,237.38,0.00052,0.00002
1.5,0.125,258.06,0.00057,0.00002
1.6,0.134,277.95,0.0006,0.00002
1.7,0.142,299.61,0.00064,0.00002
1.8,0.15,313.97,0.00068,0.00002
1.9,0.159,328.25,0.00072,0.00002
2,0.167,343.86,0.00076,0.00002
2.1,0.175,358.71,0.00079,0.00003
2.2,0.183,366.73,0.00083,0.00003
2.3,0.192,375.75,0.00087,0.00003
2.4,0.2,390.22,0.00091,0.00003
2.5,0.208,402.94,0.00095,0.00003
2.6,0.217,422.61,0.00099,0.00003
2.7,0.225,431.98,0.00103,0.00003
2.8,0.234,442.52,0.00106,0.00003
2.9,0.242,446.1,0.0011,0.00003
3,0.25,447.92,0.00114,0.00004
3.1,0.258,448.54,0.00117,0.00004
3.2,0.267,449.76,0.00121,0.00004
3.3,0.275,451.61,0.00125,0.00004
3.4,0.284,455.14,0.00128,0.00004
3.5,0.292,461.72,0.00132,0.00004
3.6,0.3,468.19,0.00135,0.00004
3.7,0.309,480.39,0.0014,0.00004
3.8,0.317,486.94,0.00143,0.00004
3.9,0.325,499.37,0.00147,0.00005
4,0.333,513.37,0.0015,0.00005
4.1,0.342,522.97,0.00154,0.00005
4.2,0.35,533.76,0.00158,0.00005
4.3,0.358,554.07,0.00161,0.00005
4.4,0.367,579.25,0.00165,0.00005
4.5,0.375,605.93,0.00169,0.00005
4.6,0.383,637.78,0.00173,0.00005
4.7,0.392,658.37,0.00176,0.00005
4.8,0.4,680.27,0.0018,0.00006
4.9,0.408,699.38,0.00183,0.00006
5,0.417,715.91,0.00187,0.00006
5.1,0.425,733.82,0.00191,0.00006
5.2,0.433,753.87,0.00194,0.00006
5.3,0.442,768.78,0.00198,0.00006
5.4,0.45,784.81,0.00202,0.00006
5.5,0.458,803.14,0.00205,0.00006
5.6,0.467,819.47,0.00209,0.00006
5.7,0.475,840.27,0.00213,0.00006
