Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,-1.53,0,0
0.1,0.004,1.43,0,0
0.2,0.014,13.29,0.00004,0
0.3,0.024,26.81,0.0001,0.00001
0.4,0.034,39.75,0.00014,0
0.5,0.042,52.17,0.00018,0.00001
0.6,0.05,67.62,0.00022,0.00001
0.7,0.059,83.44,0.00027,0.00001
0.8,0.067,99.69,0.00031,0.00001
0.9,0.075,125.8,0.00035,0.00001
1,0.084,152.47,0.00039,0.00001
1.1,0.092,173.15,0.00043,0.00001
1.2,0.1,190.02,0.00048,0.00001
1.3,0.109,210.94,0.00052,0.00001
1.4,0.117,231.6,0.00056,0.00001
1.5,0.125,249.58,0.0006,0.00001
1.6,0.133,266.71,0.00064,0.00001
1.7,0.142,285.5,0.00069,0.00001
1.8,0.15,306.68,0.00073,0.00001
1.9,0.159,329.51,0.00077,0.00001
2,0.167,346.05,0.00081,0.00001
2.1,0.175,360.44,0.00086,0.00001
2.2,0.183,374.75,0.0009,0.00001
2.3,0.192,386.24,0.00094,0.00001
2.4,0.2,394.4,0.00098,0.00001
2.5,0.208,406.19,0.00102,0.00001
2.6,0.217,418.71,0.00106,0.00001
2.7,0.225,433.09,0.0011,0.00001
2.8,0.233,451.63,0.00114,0.00001
2.9,0.242,462.15,0.00118,0.00001
3,0.25,468.51,0.00122,0.00001
3.1,0.258,474.22,0.00126,0.00001
3.2,0.267,476.99,0.0013,0.00001
3.3,0.275,478.14,0.00134,0.00001
3.4,0.284,479.11,0.00138,0.00001
3.5,0.292,481.14,0.00142,0.00001
3.6,0.3,483.09,0.00145,0.00001
3.7,0.308,490.3,0.00149,0.00001
3.8,0.317,496.29,0.00152,0.00001
3.9,0.325,504.31,0.00156,0.00001
4,0.334,515.17,0.0016,0.00001
4.1,0.342,523.44,0.00163,0.00002
4.2,0.35,530.34,0.00167,0.00001
4.3,0.358,539.98,0.00171,0.00001
4.4,0.367,549.49,0.00174,0.00002
4.5,0.375,556.81,0.00177,0.00002
4.6,0.383,570.98,0.00181,0.00002
4.7,0.392,584.25,0.00184,0.00002
4.8,0.4,602.2,0.00187,0.00002
4.9,0.408,628.79,0.00189,0.00002
5,0.417,648.61,0.00192,0.00002
5.1,0.425,668.2,0.00195,0.00002
5.2,0.434,679.19,0.00197,0.00002
5.3,0.442,692.94,0.002,0.00002
5.4,0.45,703.02,0.00202,0.00002
5.5,0.459,711.29,0.00203,0.00002
5.6,0.467,720.29,0.00205,0.00002
5.7,0.475,726.97,0.00206,0.00002
5.8,0.483,726.82,0.00207,0.00002
5.9,0.492,729.97,0.00208,0.00002
6,0.5,735.77,0.00208,0.00002
6.1,0.509,740.14,0.00209,0.00002
6.2,0.517,741.17,0.00209,0.00002
6.3,0.525,741.48,0.0021,0.00002
6.4,0.534,743.27,0.00211,0.00002
6.5,0.542,745.25,0.00212,0.00002
6.6,0.55,751.8,0.00212,0.00002
6.7,0.558,755.76,0.00213,0.00002
6.8,0.567,765.23,0.00215,0.00002
6.9,0.575,766.57,0.00216,0.00002
7,0.583,778,0.00218,0.00002
7.1,0.592,784.7,0.0022,0.00002
7.2,0.6,788.26,0.00222,0.00002
7.3,0.609,799.74,0.00224,0.00002
7.4,0.617,804.5,0.00226,0.00003
7.5,0.625,814.64,0.00228,0.00002
7.6,0.634,829.91,0.0023,0.00002
7.7,0.642,831.56,0.00232,0.00002
7.8,0.65,843,0.00234,0.00002
7.9,0.659,852.12,0.00237,0.00003
8,0.667,864.96,0.00239,0.00003
8.1,0.675,876.5,0.00242,0.00003
8.2,0.684,896.22,0.00244,0.00003
8.3,0.692,914.02,0.00247,0.00003
8.4,0.7,931,0.00249,0.00003
8.5,0.709,950.27,0.00252,0.00003
8.6,0.717,967.17,0.00255,0.00003
8.7,0.725,988.05,0.00258,0.00003
8.8,0.734,1001,0.00261,0.00003
8.9,0.742,1011.81,0.00263,0.00003
9,0.75,1022.91,0.00266,0.00003
9.1,0.758,1031.8,0.00269,0.00003
9.2,0.767,1037.07,0.00271,0.00003
9.3,0.775,1044.35,0.00275,0.00003
9.4,0.783,1049.52,0.00278,0.00003
9.5,0.792,1055.76,0.0028,0.00003
9.6,0.8,1059.53,0.00283,0.00003
9.7,0.808,1066.85,0.00286,0.00003
9.8,0.817,1070.58,0.00289,0.00003
9.9,0.825,1078.18,0.00292,0.00003
10,0.834,1080.68,0.00295,0.00003
10.1,0.842,1084.51,0.00297,0.00003
10.2,0.85,1088.92,0.003,0.00003
10.3,0.859,1089.59,0.00303,0.00003
10.4,0.867,1093.35,0.00306,0.00003
10.5,0.875,1094.46,0.00309,0.00003
10.6,0.884,1095.94,0.00311,0.00003
10.7,0.892,1097.56,0.00314,0.00003
10.8,0.9,1101.43,0.00317,0.00003
10.9,0.909,1104.02,0.00319,0.00003
11,0.917,1108.05,0.00322,0.00003
11.1,0.925,1113.56,0.00325,0.00003
11.2,0.933,1115.45,0.00328,0.00003
11.3,0.942,1129.58,0.0033,0.00004
11.4,0.95,1141.23,0.00333,0.00003
11.5,0.959,1148.67,0.00336,0.00004
11.6,0.967,1156.68,0.00339,0.00004
11.7,0.975,1169.49,0.00341,0.00004
11.8,0.983,1174.5,0.00343,0.00004
11.9,0.992,1183.04,0.00346,0.00004
12,1,1190.29,0.00349,0.00004
12.1,1.009,1201.34,0.00351,0.00004
12.2,1.017,1210.66,0.00355,0.00004
12.3,1.025,1217.48,0.00357,0.00004
12.4,1.033,1228.22,0.00359,0.00004
12.5,1.042,1231.85,0.00362,0.00004
12.6,1.05,1244.57,0.00365,0.00004
12.7,1.059,1255.7,0.00367,0.00004
12.8,1.067,1264.02,0.0037,0.00004
12.9,1.075,1274.54,0.00372,0.00004
13,1.084,1283.69,0.00374,0.00004
13.1,1.092,1295.04,0.00377,0.00004
13.2,1.1,1304.03,0.0038,0.00004
13.3,1.108,1312.03,0.00382,0.00004
13.4,1.117,1322.69,0.00384,0.00004
13.5,1.125,1330.3,0.00386,0.00004
13.6,1.134,1337.66,0.00388,0.00004
13.7,1.142,1345,0.0039,0.00004
13.8,1.15,1350.24,0.00393,0.00004
13.9,1.158,1356.13,0.00394,0.00004
14,1.167,1362.78,0.00396,0.00004
14.1,1.175,1378.38,0.00398,0.00004
14.2,1.183,1376.07,0.004,0.00004
14.3,1.192,1382.88,0.00401,0.00004
14.4,1.2,1386.37,0.00402,0.00004
14.5,1.209,1392.48,0.00404,0.00005
14.6,1.217,1403.71,0.00405,0.00005
14.7,1.225,1406.35,0.00407,0.00005
14.8,1.234,1418.58,0.00408,0.00005
14.9,1.242,1424.47,0.0041,0.00005
15,1.25,1431.21,0.00411,0.00005
15.1,1.259,1445.24,0.00413,0.00005
15.2,1.267,1450.8,0.00415,0.00005
15.3,1.275,1468.55,0.00416,0.00005
15.4,1.284,1478.58,0.00418,0.00005
15.5,1.292,1489.82,0.00421,0.00005
15.6,1.3,1500.08,0.00423,0.00005
15.7,1.308,1512.79,0.00425,0.00005
15.8,1.317,1519.23,0.00427,0.00005
15.9,1.325,1524.96,0.00429,0.00005
16,1.333,1530.24,0.00432,0.00005
16.1,1.342,1535.73,0.00435,0.00005
16.2,1.35,1539.26,0.00437,0.00005
16.3,1.358,1544.9,0.00439,0.00005
