Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,0.04,0,0
0.1,0.004,2.43,0,0
0.2,0.014,68.63,0.00004,0.00001
0.3,0.025,157.02,0.00007,0.00001
0.4,0.034,234.75,0.00009,0.00001
0.5,0.042,283.98,0.00011,0.00001
0.6,0.05,329.15,0.00013,0.00001
0.7,0.059,374.55,0.00015,0.00002
0.8,0.067,427.84,0.00016,0.00002
0.9,0.075,495.2,0.00018,0.00002
1,0.084,543.91,0.00019,0.00002
1.1,0.092,564.72,0.00021,0.00002
1.2,0.1,580.69,0.00022,0.00002
1.3,0.109,598.18,0.00024,0.00002
1.4,0.117,610.31,0.00025,0.00003
1.5,0.125,618.26,0.00026,0.00003
1.6,0.134,624.75,0.00028,0.00003
1.7,0.142,634.93,0.00029,0.00003
1.8,0.15,671.07,0.0003,0.00003
1.9,0.159,698.51,0.00031,0.00003
2,0.167,728.35,0.00033,0.00003
2.1,0.175,760.65,0.00034,0.00003
2.2,0.184,792.56,0.00035,0.00004
2.3,0.192,831.51,0.00036,0.00004
2.4,0.2,866.54,0.00037,0.00004
2.5,0.208,903.69,0.00038,0.00004
2.6,0.217,946.27,0.00039,0.00004
2.7,0.225,1011.35,0.0004,0.00004
2.8,0.233,1047.59,0.00041,0.00004
2.9,0.242,1070.53,0.00042,0.00004
3,0.25,1086.27,0.00043,0.00004
3.1,0.259,1109.68,0.00044,0.00005
3.2,0.267,1142,0.00045,0.00005
3.3,0.275,1178.87,0.00046,0.00005
3.4,0.284,1218.29,0.00047,0.00005
3.5,0.292,1274.47,0.00048,0.00005
3.6,0.3,1302.9,0.00049,0.00005
3.7,0.309,1333.76,0.0005,0.00005
3.8,0.317,1375.06,0.00051,0.00005
3.9,0.325,1411.45,0.00052,0.00005
4,0.334,1455.43,0.00053,0.00005
4.1,0.342,1507.71,0.00053,0.00006
4.2,0.35,1544.45,0.00054,0.00006
4.3,0.359,1563.51,0.00055,0.00006
4.4,0.367,1578.13,0.00056,0.00006
4.5,0.375,1595.17,0.00057,0.00006
4.6,0.383,1630.49,0.00058,0.00006
4.7,0.392,1700.28,0.00059,0.00006
4.8,0.4,1775.73,0.0006,0.00006
4.9,0.408,1835.93,0.00061,0.00006
5,0.417,1904.06,0.00062,0.00007
5.1,0.425,1950.41,0.00063,0.00007
5.2,0.433,1981.26,0.00063,0.00007
5.3,0.442,2040.54,0.00064,0.00007
5.4,0.45,2088.43,0.00065,0.00007
5.5,0.459,2108.65,0.00066,0.00007
5.6,0.467,2126.64,0.00067,0.00007
5.7,0.475,2160.66,0.00068,0.00008
5.8,0.483,2195.96,0.00069,0.00008
5.9,0.492,2277.45,0.0007,0.00008
6,0.5,2338.01,0.00071,0.00008
6.1,0.509,2400.55,0.00072,0.00008
6.2,0.517,2484.53,0.00072,0.00008
6.3,0.525,2561.03,0.00073,0.00008
6.4,0.534,2615.35,0.00075,0.00008
6.5,0.542,2651.55,0.00076,0.00009
6.6,0.55,2674.59,0.00076,0.00009
6.7,0.558,2707.95,0.00077,0.00009
6.8,0.567,2767.02,0.00078,0.00009
6.9,0.575,2818.28,0.00079,0.00009
7,0.584,2900.94,0.0008,0.00009
7.1,0.592,2975,0.00081,0.0001
7.2,0.6,3042.04,0.00082,0.0001
7.3,0.608,3095.38,0.00083,0.0001
7.4,0.617,3119.83,0.00084,0.0001
7.5,0.625,3157.3,0.00085,0.0001
7.6,0.634,3242.55,0.00086,0.00011
7.7,0.642,3341.55,0.00087,0.00011
7.8,0.65,3395.24,0.00088,0.00011
7.9,0.658,3452.74,0.00089,0.00011
8,0.667,3522.59,0.0009,0.00011
8.1,0.675,3618.15,0.00091,0.00012
8.2,0.684,3667.38,0.00092,0.00012
8.3,0.692,3685.35,0.00093,0.00012
8.4,0.7,3722.08,0.00094,0.00012
8.5,0.708,3816.14,0.00095,0.00012
8.6,0.717,3874.07,0.00096,0.00013
8.7,0.725,3974.45,0.00098,0.00013
8.8,0.734,4056.56,0.00098,0.00013
8.9,0.742,4135.01,0.00099,0.00013
9,0.75,4165,0.00101,0.00013
9.1,0.758,4187.24,0.00102,0.00014
9.2,0.767,4232.19,0.00103,0.00014
9.3,0.775,4369.51,0.00104,0.00014
9.4,0.783,4449.01,0.00105,0.00014
9.5,0.792,4515.83,0.00106,0.00014
9.6,0.8,4609.87,0.00107,0.00015
9.7,0.809,4661.59,0.00108,0.00015
9.8,0.817,4706.35,0.0011,0.00015
9.9,0.825,4756.62,0.00111,0.00015
10,0.833,4836.06,0.00112,0.00016
10.1,0.842,4898.66,0.00113,0.00016
10.2,0.85,5006.95,0.00114,0.00016
10.3,0.859,5105.84,0.00115,0.00016
10.4,0.867,5191.49,0.00117,0.00017
10.5,0.875,5227.4,0.00117,0.00017
10.6,0.883,5256.96,0.00119,0.00017
10.7,0.892,5347.3,0.0012,0.00017
10.8,0.9,5446.91,0.00121,0.00018
10.9,0.909,5524.33,0.00122,0.00018
11,0.917,5615.93,0.00123,0.00018
11.1,0.925,5668.27,0.00125,0.00018
11.2,0.933,5719.28,0.00126,0.00018
