Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,-0.25,0,0
0.1,0.003,7.69,0,0
0.2,0.013,394.49,0.00002,0.00001
0.3,0.024,662.25,0.00006,0.00002
0.4,0.034,744.6,0.00007,0.00003
0.5,0.042,763.84,0.00009,0.00003
0.6,0.05,800.45,0.0001,0.00003
0.7,0.059,820.9,0.00011,0.00003
0.8,0.067,800.54,0.00011,0.00003
0.9,0.075,754.72,0.0001,0.00003
1,0.084,739.75,0.0001,0.00003
1.1,0.092,740.97,0.0001,0.00002
1.2,0.1,746.37,0.0001,0.00003
1.3,0.109,750.66,0.00011,0.00003
1.4,0.117,754.28,0.00011,0.00003
1.5,0.125,765.25,0.00012,0.00003
1.6,0.134,800.05,0.00012,0.00003
1.7,0.142,886.24,0.00014,0.00003
1.8,0.15,1027.28,0.00015,0.00003
1.9,0.159,1184.5,0.00017,0.00004
2,0.167,1293.98,0.00018,0.00004
2.1,0.175,1346.51,0.00019,0.00004
2.2,0.184,1401.86,0.0002,0.00005
2.3,0.192,1482.17,0.00021,0.00005
2.4,0.2,1572.19,0.00022,0.00005
2.5,0.209,1686.24,0.00023,0.00006
2.6,0.217,1799.13,0.00025,0.00006
2.7,0.225,1850.35,0.00026,0.00006
2.8,0.234,1967.88,0.00027,0.00006
2.9,0.242,2078.23,0.00029,0.00007
3,0.25,2224.71,0.0003,0.00008
3.1,0.259,2313.76,0.00031,0.00008
3.2,0.267,2405.66,0.00033,0.00009
3.3,0.275,2591.22,0.00034,0.00009
3.4,0.284,2717.82,0.00036,0.0001
3.5,0.292,2850,0.00037,0.0001
3.6,0.3,2920.38,0.00039,0.00011
3.7,0.309,3102.49,0.0004,0.00011
3.8,0.317,3290.13,0.00042,0.00012
3.9,0.325,3398.47,0.00044,0.00012
4,0.334,3514.35,0.00045,0.00013
4.1,0.342,3705.27,0.00046,0.00013
4.2,0.35,3848.62,0.00048,0.00014
4.3,0.359,3996.25,0.0005,0.00014
4.4,0.367,4181.42,0.00051,0.00014
4.5,0.375,4403.09,0.00053,0.00015
4.6,0.383,4520.3,0.00054,0.00015
4.7,0.392,4720.83,0.00056,0.00015
4.8,0.4,4894.65,0.00058,0.00016
4.9,0.409,4990.88,0.00059,0.00016
5,0.417,5257.18,0.0006,0.00016
5.1,0.425,5431.41,0.00062,0.00017
5.2,0.434,5578.32,0.00064,0.00017
5.3,0.442,5807.36,0.00065,0.00017
5.4,0.45,5972.89,0.00067,0.00018
5.5,0.459,6133.19,0.00068,0.00018
5.6,0.467,6344.7,0.0007,0.00018
5.7,0.475,6482.21,0.00071,0.00019
5.8,0.484,6697.99,0.00073,0.00019
5.9,0.492,6885.53,0.00074,0.00019
6,0.5,6987.08,0.00075,0.0002
6.1,0.509,7220.37,0.00077,0.0002
6.2,0.517,7479.15,0.00078,0.0002
6.3,0.525,7553.94,0.00079,0.00021
6.4,0.534,7721.09,0.00081,0.00021
6.5,0.542,7920.36,0.00082,0.00021
6.6,0.55,8049.19,0.00084,0.00021
6.7,0.558,8286.74,0.00085,0.00022
6.8,0.567,8424.44,0.00086,0.00022
6.9,0.575,8547.77,0.00087,0.00022
7,0.584,8723.88,0.00088,0.00022
7.1,0.592,8934.94,0.0009,0.00022
7.2,0.6,9047.6,0.00091,0.00023
7.3,0.608,9130.21,0.00092,0.00023
7.4,0.617,9336.4,0.00094,0.00023
7.5,0.625,9530.85,0.00094,0.00023
7.6,0.634,9670.23,0.00096,0.00024
7.7,0.642,9791,0.00097,0.00024
7.8,0.65,9907.5,0.00098,0.00024
7.9,0.659,10065.41,0.00099,0.00025
8,0.667,10208.59,0.001,0.00025
8.1,0.675,10405.24,0.00101,0.00025
8.2,0.684,10554.55,0.00102,0.00025
8.3,0.692,10586.07,0.00103,0.00025
8.4,0.7,10758.55,0.00104,0.00026
8.5,0.709,10943.32,0.00105,0.00026
8.6,0.717,11113.98,0.00106,0.00026
8.7,0.725,11181.05,0.00107,0.00026
8.8,0.734,11335.33,0.00108,0.00026
8.9,0.742,11487.22,0.00109,0.00026
9,0.75,11634.12,0.0011,0.00027
