Specimen label,"Steel ME354"
End date,"Monday, October 14, 2019"
Thickness,"6.20000",mm
Width,"12.30000",mm
Final length,"78.43000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.05000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"53.200","4.434","31667.27","0.03684","0.01753"
"53.300","4.442","31680.05","0.03694","0.01758"
"53.400","4.450","31696.21","0.03704","0.01763"
"53.500","4.459","31713.47","0.03715","0.01768"
"53.600","4.467","31726.13","0.03725","0.01772"
"53.700","4.475","31741.94","0.03735","0.01777"
"53.800","4.484","31757.78","0.03746","0.01782"
"53.900","4.492","31766.50","0.03756","0.01788"
"54.000","4.500","31779.47","0.03766","0.01793"
"54.100","4.508","31789.78","0.03776","0.01798"
"54.200","4.517","31824.43","0.03786","0.01803"
"54.300","4.525","31844.11","0.03797","0.01808"
"54.400","4.534","31852.43","0.03807","0.01813"
"54.500","4.542","31863.62","0.03818","0.01818"
"54.600","4.550","31881.36","0.03828","0.01823"
"54.700","4.558","31898.45","0.03838","0.01828"
"54.800","4.567","31923.68","0.03849","0.01833"
"54.900","4.575","31956.02","0.03859","0.01838"
"55.000","4.584","31993.54","0.03869","0.01843"
"55.100","4.592","32007.95","0.03879","0.01848"
"55.200","4.600","32029.33","0.03889","0.01853"
"55.300","4.609","32043.89","0.03900","0.01858"
"55.400","4.617","32057.94","0.03910","0.01863"
"55.500","4.625","32066.11","0.03921","0.01868"
"55.600","4.634","32073.21","0.03931","0.01873"
"55.700","4.642","32080.24","0.03941","0.01879"
"55.800","4.650","32087.50","0.03952","0.01884"
"55.900","4.659","32104.04","0.03963","0.01889"
"56.000","4.667","32108.00","0.03972","0.01894"
"56.100","4.675","32117.67","0.03983","0.01899"
"56.200","4.684","32128.13","0.03993","0.01904"
"56.300","4.692","32146.34","0.04004","0.01909"
"56.400","4.700","32156.15","0.04014","0.01914"
"56.500","4.709","32177.03","0.04025","0.01919"
"56.600","4.717","32195.84","0.04035","0.01924"
"56.700","4.725","32222.61","0.04045","0.01929"
"56.800","4.734","32244.08","0.04055","0.01934"
"56.900","4.742","32272.27","0.04065","0.01939"
"57.000","4.750","32287.10","0.04075","0.01944"
"57.100","4.759","32301.12","0.04086","0.01950"
"57.200","4.767","32317.52","0.04096","0.01955"
"57.300","4.775","32326.96","0.04106","0.01960"
"57.400","4.784","32336.69","0.04117","0.01965"
"57.500","4.792","32359.63","0.04127","0.01970"
"57.600","4.800","32379.35","0.04138","0.01975"
"57.700","4.809","32398.76","0.04148","0.01980"
"57.800","4.817","32416.19","0.04158","0.01985"
"57.900","4.825","32430.88","0.04169","0.01990"
"58.000","4.834","32444.76","0.04178","0.01995"
"58.100","4.842","32447.99","0.04188","0.02001"
"58.200","4.850","32460.91","0.04199","0.02006"
"58.300","4.859","32469.71","0.04210","0.02011"
"58.400","4.867","32483.64","0.04220","0.02016"
"58.500","4.875","32493.84","0.04231","0.02021"
"58.600","4.883","32513.43","0.04242","0.02026"
"58.700","4.892","32524.77","0.04252","0.02031"
"58.800","4.900","32533.02","0.04263","0.02036"
"58.900","4.909","32536.63","0.04273","0.02042"
"59.000","4.917","32540.37","0.04284","0.02046"
"59.100","4.925","32547.28","0.04294","0.02052"
"59.200","4.934","32549.02","0.04305","0.02056"
"59.300","4.942","32555.15","0.04316","0.02062"
"59.400","4.950","32558.04","0.04326","0.02067"
"59.500","4.959","32569.75","0.04337","0.02072"
"59.600","4.967","32577.69","0.04347","0.02077"
"59.700","4.975","32583.83","0.04357","0.02082"
"59.800","4.984","32588.97","0.04368","0.02087"
"59.900","4.992","32597.61","0.04378","0.02092"
"60.000","5.000","32607.19","0.04389","0.02097"
"60.100","5.009","32618.09","0.04400","0.02102"
"60.200","5.017","32633.79","0.04410","0.02107"
"60.300","5.025","32657.61","0.04421","0.02112"
"60.400","5.034","32681.86","0.04432","0.02117"
"60.500","5.042","32708.36","0.04442","0.02122"
"60.600","5.050","32727.75","0.04453","0.02127"
"60.700","5.058","32754.02","0.04464","0.02133"
"60.800","5.067","32781.87","0.04474","0.02138"
"60.900","5.075","32792.26","0.04485","0.02143"
"61.000","5.084","32807.08","0.04495","0.02148"
"61.100","5.092","32815.77","0.04505","0.02153"
"61.200","5.100","32829.98","0.04516","0.02158"
"61.300","5.109","32854.27","0.04528","0.02163"
"61.400","5.117","32869.67","0.04538","0.02168"
"61.500","5.125","32889.75","0.04549","0.02174"
"61.600","5.133","32905.22","0.04560","0.02179"
"61.700","5.142","32919.12","0.04571","0.02184"
"61.800","5.150","32937.33","0.04581","0.02189"
"61.900","5.159","32946.75","0.04592","0.02194"
"62.000","5.167","32960.48","0.04602","0.02198"
"62.100","5.175","32979.94","0.04612","0.02204"
"62.200","5.184","32989.79","0.04622","0.02209"
"62.300","5.192","33022.25","0.04633","0.02214"
"62.400","5.200","33055.32","0.04644","0.02219"
"62.500","5.209","33084.73","0.04654","0.02224"
"62.600","5.217","33108.98","0.04665","0.02229"
"62.700","5.225","33118.54","0.04676","0.02234"
"62.800","5.233","33129.37","0.04686","0.02239"
"62.900","5.242","33141.39","0.04698","0.02244"
"63.000","5.250","33146.37","0.04708","0.02249"
"63.100","5.259","33149.56","0.04719","0.02255"
"63.200","5.267","33151.05","0.04731","0.02260"
"63.300","5.275","33151.96","0.04741","0.02265"
"63.400","5.284","33152.00","0.04752","0.02270"
"63.500","5.292","33152.95","0.04763","0.02275"
"63.600","5.300","33153.08","0.04774","0.02280"
"63.700","5.309","33153.20","0.04784","0.02285"
"63.800","5.317","33153.17","0.04795","0.02290"
"63.900","5.325","33153.15","0.04806","0.02296"
"64.000","5.334","33153.54","0.04817","0.02301"
"64.100","5.342","33154.99","0.04828","0.02306"
"64.200","5.350","33157.48","0.04840","0.02311"
"64.300","5.359","33161.44","0.04850","0.02316"
"64.400","5.367","33169.23","0.04861","0.02321"
"64.500","5.375","33182.14","0.04872","0.02326"
"64.600","5.384","33198.26","0.04883","0.02331"
"64.700","5.392","33215.16","0.04893","0.02336"
"64.800","5.400","33227.64","0.04904","0.02342"
"64.900","5.409","33236.22","0.04915","0.02347"
"65.000","5.417","33241.93","0.04926","0.02352"
"65.100","5.425","33256.18","0.04937","0.02357"
"65.200","5.434","33272.95","0.04948","0.02363"
"65.300","5.442","33279.41","0.04958","0.02368"
"65.400","5.450","33294.34","0.04970","0.02373"
"65.500","5.459","33323.70","0.04980","0.02378"
"65.600","5.467","33351.29","0.04991","0.02383"
"65.700","5.475","33366.21","0.05002","0.02389"
"65.800","5.484","33390.06","0.05013","0.02394"
"65.900","5.492","33404.14","0.05024","0.02399"
"66.000","5.500","33414.76","0.05035","0.02404"
"66.100","5.509","33428.04","0.05047","0.02410"
"66.200","5.517","33441.73","0.05057","0.02415"
"66.300","5.525","33446.22","0.05068","0.02420"
"66.400","5.534","33451.66","0.05079","0.02425"
"66.500","5.542","33465.15","0.05090","0.02430"
"66.600","5.550","33485.92","0.05101","0.02435"
"66.700","5.559","33494.57","0.05111","0.02441"
"66.800","5.567","33522.56","0.05123","0.02446"
"66.900","5.575","33527.62","0.05134","0.02451"
"67.000","5.584","33558.66","0.05145","0.02456"
"67.100","5.592","33572.68","0.05156","0.02461"
"67.200","5.600","33584.14","0.05167","0.02467"
"67.300","5.608","33600.10","0.05178","0.02472"
"67.400","5.617","33607.99","0.05188","0.02477"
"67.500","5.625","33612.91","0.05199","0.02482"
"67.600","5.633","33622.83","0.05210","0.02487"
"67.700","5.642","33633.46","0.05221","0.02492"
"67.800","5.650","33639.93","0.05231","0.02497"
"67.900","5.659","33647.56","0.05243","0.02503"
"68.000","5.667","33651.27","0.05254","0.02508"
"68.100","5.675","33656.16","0.05265","0.02513"
"68.200","5.684","33665.45","0.05276","0.02518"
"68.300","5.692","33670.31","0.05287","0.02523"
"68.400","5.700","33674.35","0.05297","0.02528"
"68.500","5.709","33680.64","0.05308","0.02534"
"68.600","5.717","33690.63","0.05319","0.02539"
"68.700","5.725","33698.45","0.05331","0.02544"
"68.800","5.734","33705.61","0.05342","0.02550"
"68.900","5.742","33714.85","0.05353","0.02555"
"69.000","5.750","33738.08","0.05364","0.02560"
"69.100","5.759","33744.61","0.05375","0.02565"
"69.200","5.767","33753.19","0.05386","0.02570"
"69.300","5.775","33786.85","0.05397","0.02575"
"69.400","5.784","33802.28","0.05408","0.02580"
"69.500","5.792","33812.80","0.05419","0.02585"
"69.600","5.800","33832.09","0.05430","0.02591"
"69.700","5.809","33848.68","0.05441","0.02596"
"69.800","5.817","33863.75","0.05452","0.02601"
"69.900","5.825","33870.02","0.05464","0.02606"
"70.000","5.833","33871.13","0.05475","0.02611"
"70.100","5.842","33879.41","0.05486","0.02617"
"70.200","5.850","33882.84","0.05497","0.02622"
"70.300","5.858","33889.13","0.05508","0.02627"
"70.400","5.867","33897.67","0.05520","0.02632"
"70.500","5.875","33908.72","0.05531","0.02637"
"70.600","5.884","33920.50","0.05542","0.02642"
"70.700","5.892","33922.99","0.05553","0.02647"
"70.800","5.900","33931.69","0.05564","0.02652"
"70.900","5.909","33936.80","0.05575","0.02657"
"71.000","5.917","33942.85","0.05586","0.02663"
"71.100","5.925","33947.84","0.05597","0.02668"
"71.200","5.934","33953.64","0.05608","0.02673"
"71.300","5.942","33955.85","0.05620","0.02678"
"71.400","5.950","33959.39","0.05631","0.02683"
"71.500","5.959","33974.91","0.05643","0.02688"
"71.600","5.967","33981.21","0.05654","0.02694"
"71.700","5.975","33990.93","0.05665","0.02699"
"71.800","5.984","34008.68","0.05677","0.02704"
"71.900","5.992","34012.61","0.05687","0.02709"
"72.000","6.000","34023.27","0.05698","0.02714"
"72.100","6.009","34037.35","0.05710","0.02720"
"72.200","6.017","34044.26","0.05721","0.02725"
"72.300","6.025","34047.83","0.05732","0.02730"
"72.400","6.034","34057.32","0.05743","0.02735"
"72.500","6.042","34059.19","0.05755","0.02740"
"72.600","6.050","34067.02","0.05766","0.02745"
"72.700","6.059","34076.65","0.05777","0.02751"
"72.800","6.067","34091.81","0.05788","0.02756"
"72.900","6.075","34093.34","0.05799","0.02761"
"73.000","6.084","34105.94","0.05811","0.02766"
"73.100","6.092","34124.27","0.05821","0.02771"
"73.200","6.100","34134.05","0.05833","0.02776"
"73.300","6.109","34141.44","0.05844","0.02782"
"73.400","6.117","34150.03","0.05855","0.02787"
"73.500","6.125","34154.35","0.05867","0.02792"
"73.600","6.133","34159.02","0.05878","0.02797"
"73.700","6.142","34167.04","0.05889","0.02803"
"73.800","6.150","34174.56","0.05901","0.02808"
"73.900","6.159","34179.56","0.05912","0.02813"
"74.000","6.167","34183.76","0.05924","0.02819"
"74.100","6.175","34183.27","0.05935","0.02824"
"74.200","6.183","34195.22","0.05946","0.02829"
"74.300","6.192","34210.83","0.05958","0.02834"
"74.400","6.200","34229.75","0.05969","0.02839"
"74.500","6.208","34234.73","0.05980","0.02845"
"74.600","6.217","34244.78","0.05992","0.02850"
"74.700","6.225","34269.70","0.06003","0.02855"
"74.800","6.234","34282.24","0.06014","0.02860"
"74.900","6.242","34294.90","0.06025","0.02865"
"75.000","6.250","34307.77","0.06036","0.02870"
"75.100","6.259","34322.62","0.06048","0.02876"
"75.200","6.267","34327.14","0.06059","0.02881"
"75.300","6.275","34344.05","0.06071","0.02886"
"75.400","6.284","34346.60","0.06082","0.02891"
"75.500","6.292","34352.05","0.06094","0.02896"
"75.600","6.300","34363.52","0.06104","0.02902"
"75.700","6.309","34374.34","0.06116","0.02907"
"75.800","6.317","34385.36","0.06127","0.02912"
"75.900","6.325","34399.84","0.06138","0.02917"
"76.000","6.334","34411.16","0.06150","0.02922"
"76.100","6.342","34430.38","0.06161","0.02927"
"76.200","6.350","34445.73","0.06172","0.02933"
"76.300","6.359","34464.10","0.06184","0.02938"
"76.400","6.367","34492.66","0.06196","0.02943"
"76.500","6.375","34500.39","0.06207","0.02949"
"76.600","6.384","34509.54","0.06219","0.02954"
"76.700","6.392","34515.51","0.06230","0.02959"
"76.800","6.400","34524.68","0.06241","0.02964"
"76.900","6.409","34545.41","0.06253","0.02970"
"77.000","6.417","34547.91","0.06264","0.02975"
"77.100","6.425","34556.49","0.06275","0.02980"
"77.200","6.434","34572.82","0.06287","0.02985"
"77.300","6.442","34586.63","0.06298","0.02991"
"77.400","6.450","34595.11","0.06309","0.02996"
"77.500","6.459","34604.12","0.06321","0.03001"
"77.600","6.467","34613.38","0.06332","0.03006"
"77.700","6.475","34618.00","0.06344","0.03012"
"77.800","6.484","34626.52","0.06355","0.03017"
"77.900","6.492","34633.10","0.06367","0.03022"
"78.000","6.500","34640.45","0.06378","0.03028"
"78.100","6.509","34647.02","0.06390","0.03033"
"78.200","6.517","34652.10","0.06401","0.03038"
"78.300","6.525","34653.54","0.06412","0.03043"
"78.400","6.534","34653.78","0.06424","0.03048"
"78.500","6.542","34654.02","0.06435","0.03054"
"78.600","6.550","34655.02","0.06447","0.03059"
"78.700","6.559","34654.88","0.06459","0.03065"
"78.800","6.567","34654.92","0.06470","0.03070"
"78.900","6.575","34655.07","0.06482","0.03075"
"79.000","6.584","34655.05","0.06494","0.03081"
"79.100","6.592","34655.06","0.06505","0.03086"
"79.200","6.600","34655.00","0.06517","0.03092"
"79.300","6.609","34655.30","0.06528","0.03097"
"79.400","6.617","34655.38","0.06540","0.03102"
"79.500","6.625","34655.51","0.06551","0.03108"
"79.600","6.634","34656.35","0.06563","0.03113"
"79.700","6.642","34655.66","0.06574","0.03118"
"79.800","6.650","34655.72","0.06586","0.03124"
"79.900","6.658","34656.05","0.06597","0.03129"
"80.000","6.667","34657.93","0.06609","0.03134"
"80.100","6.675","34662.38","0.06620","0.03140"
"80.200","6.684","34661.25","0.06632","0.03145"
"80.300","6.692","34663.24","0.06644","0.03150"
"80.400","6.700","34666.77","0.06655","0.03156"
"80.500","6.708","34678.86","0.06668","0.03161"
"80.600","6.717","34694.55","0.06679","0.03166"
"80.700","6.725","34707.13","0.06690","0.03172"
"80.800","6.733","34713.13","0.06702","0.03177"
"80.900","6.742","34718.45","0.06713","0.03183"
"81.000","6.750","34734.82","0.06725","0.03188"
"81.100","6.758","34754.35","0.06736","0.03194"
"81.200","6.767","34763.27","0.06748","0.03199"
"81.300","6.775","34774.97","0.06760","0.03204"
"81.400","6.784","34787.29","0.06772","0.03210"
"81.500","6.792","34798.56","0.06783","0.03216"
"81.600","6.800","34806.38","0.06795","0.03221"
"81.700","6.809","34823.26","0.06807","0.03226"
"81.800","6.817","34822.69","0.06818","0.03232"
"81.900","6.825","34833.62","0.06830","0.03237"
"82.000","6.833","34846.39","0.06841","0.03242"
"82.100","6.842","34847.49","0.06853","0.03248"
"82.200","6.850","34861.07","0.06865","0.03253"
"82.300","6.859","34864.52","0.06877","0.03258"
"82.400","6.867","34873.22","0.06889","0.03264"
"82.500","6.875","34894.60","0.06901","0.03269"
"82.600","6.884","34900.19","0.06912","0.03275"
"82.700","6.892","34904.50","0.06924","0.03280"
"82.800","6.900","34917.30","0.06935","0.03285"
"82.900","6.909","34930.57","0.06947","0.03291"
"83.000","6.917","34945.22","0.06959","0.03296"
"83.100","6.925","34945.41","0.06971","0.03302"
"83.200","6.933","34951.27","0.06982","0.03307"
"83.300","6.942","34967.15","0.06994","0.03312"
"83.400","6.950","34976.55","0.07006","0.03317"
"83.500","6.959","34977.79","0.07017","0.03323"
"83.600","6.967","34988.39","0.07029","0.03328"
"83.700","6.975","34993.57","0.07041","0.03334"
"83.800","6.983","35000.99","0.07052","0.03339"
"83.900","6.992","35014.44","0.07064","0.03344"
"84.000","7.000","35030.62","0.07076","0.03350"
"84.100","7.009","35037.56","0.07088","0.03355"
"84.200","7.017","35048.09","0.07100","0.03361"
"84.300","7.025","35054.30","0.07112","0.03366"
"84.400","7.034","35068.06","0.07123","0.03371"
"84.500","7.042","35088.80","0.07135","0.03377"
"84.600","7.050","35101.05","0.07147","0.03382"
"84.700","7.059","35109.62","0.07159","0.03387"
"84.800","7.067","35121.56","0.07171","0.03393"
"84.900","7.075","35132.76","0.07183","0.03398"
"85.000","7.084","35142.47","0.07194","0.03404"
"85.100","7.092","35139.31","0.07206","0.03409"
"85.200","7.100","35145.43","0.07217","0.03414"
"85.300","7.109","35152.85","0.07230","0.03420"
"85.400","7.117","35154.06","0.07241","0.03425"
"85.500","7.125","35160.43","0.07253","0.03430"
"85.600","7.134","35162.62","0.07264","0.03436"
"85.700","7.142","35162.36","0.07277","0.03441"
"85.800","7.150","35166.44","0.07289","0.03447"
"85.900","7.159","35171.67","0.07301","0.03452"
"86.000","7.167","35176.38","0.07312","0.03458"
"86.100","7.175","35180.18","0.07324","0.03463"
"86.200","7.184","35185.74","0.07336","0.03469"
"86.300","7.192","35193.04","0.07348","0.03474"
"86.400","7.200","35194.41","0.07360","0.03479"
"86.500","7.208","35197.80","0.07371","0.03485"
"86.600","7.217","35210.68","0.07383","0.03490"
"86.700","7.225","35216.61","0.07396","0.03496"
"86.800","7.234","35219.12","0.07407","0.03501"
"86.900","7.242","35225.95","0.07419","0.03506"
"87.000","7.250","35227.88","0.07431","0.03512"
"87.100","7.259","35240.01","0.07443","0.03517"
"87.200","7.267","35247.06","0.07456","0.03523"
"87.300","7.275","35243.57","0.07467","0.03528"
"87.400","7.284","35254.77","0.07479","0.03533"
"87.500","7.292","35257.82","0.07491","0.03539"
"87.600","7.300","35259.45","0.07503","0.03544"
"87.700","7.309","35261.52","0.07515","0.03550"
"87.800","7.317","35268.75","0.07527","0.03555"
"87.900","7.325","35272.02","0.07539","0.03560"
"88.000","7.334","35273.68","0.07551","0.03566"
"88.100","7.342","35276.96","0.07563","0.03571"
"88.200","7.350","35284.28","0.07575","0.03576"
"88.300","7.359","35302.24","0.07587","0.03582"
"88.400","7.367","35289.38","0.07599","0.03587"
"88.500","7.375","35300.88","0.07611","0.03593"
"88.600","7.384","35312.05","0.07623","0.03598"
"88.700","7.392","35320.42","0.07635","0.03603"
"88.800","7.400","35332.61","0.07647","0.03609"
"88.900","7.409","35329.61","0.07658","0.03614"
"89.000","7.417","35337.33","0.07670","0.03620"
"89.100","7.425","35351.02","0.07683","0.03625"
"89.200","7.434","35354.56","0.07695","0.03630"
"89.300","7.442","35354.63","0.07707","0.03636"
"89.400","7.450","35363.38","0.07718","0.03641"
"89.500","7.459","35368.57","0.07731","0.03647"
"89.600","7.467","35367.53","0.07743","0.03652"
"89.700","7.475","35370.03","0.07755","0.03657"
"89.800","7.484","35372.17","0.07767","0.03663"
"89.900","7.492","35374.11","0.07779","0.03668"
"90.000","7.500","35373.54","0.07791","0.03674"
"90.100","7.509","35378.23","0.07802","0.03679"
"90.200","7.517","35380.52","0.07815","0.03684"
"90.300","7.525","35386.64","0.07827","0.03690"
"90.400","7.534","35390.60","0.07839","0.03695"
"90.500","7.542","35391.99","0.07851","0.03701"
"90.600","7.550","35397.18","0.07863","0.03706"
"90.700","7.559","35404.37","0.07876","0.03711"
"90.800","7.567","35410.06","0.07888","0.03717"
"90.900","7.575","35416.74","0.07900","0.03722"
"91.000","7.584","35418.89","0.07912","0.03727"
"91.100","7.592","35422.76","0.07924","0.03733"
"91.200","7.600","35430.92","0.07936","0.03738"
"91.300","7.609","35437.73","0.07948","0.03744"
"91.400","7.617","35437.72","0.07960","0.03749"
"91.500","7.625","35441.84","0.07972","0.03755"
"91.600","7.634","35452.93","0.07985","0.03760"
"91.700","7.642","35449.72","0.07998","0.03765"
"91.800","7.650","35454.89","0.08010","0.03771"
"91.900","7.659","35466.97","0.08022","0.03776"
"92.000","7.667","35461.99","0.08035","0.03781"
"92.100","7.675","35468.70","0.08047","0.03787"
"92.200","7.684","35473.32","0.08059","0.03792"
"92.300","7.692","35476.85","0.08071","0.03798"
"92.400","7.700","35484.44","0.08083","0.03803"
"92.500","7.708","35486.86","0.08095","0.03808"
"92.600","7.717","35512.61","0.08108","0.03814"
"92.700","7.725","35521.60","0.08120","0.03819"
"92.800","7.733","35515.96","0.08132","0.03824"
"92.900","7.742","35534.35","0.08144","0.03830"
"93.000","7.750","35547.29","0.08156","0.03835"
"93.100","7.759","35556.43","0.08168","0.03840"
"93.200","7.767","35556.17","0.08181","0.03845"
"93.300","7.775","35572.63","0.08193","0.03851"
"93.400","7.783","35586.10","0.08205","0.03856"
"93.500","7.792","35597.69","0.08217","0.03861"
"93.600","7.800","35607.85","0.08229","0.03867"
"93.700","7.809","35606.85","0.08241","0.03872"
"93.800","7.817","35624.25","0.08254","0.03877"
"93.900","7.825","35631.04","0.08266","0.03883"
"94.000","7.833","35625.73","0.08278","0.03888"
"94.100","7.842","35632.51","0.08291","0.03894"
"94.200","7.850","35643.02","0.08303","0.03899"
"94.300","7.859","35647.45","0.08315","0.03904"
"94.400","7.867","35649.43","0.08328","0.03910"
"94.500","7.875","35656.89","0.08340","0.03915"
"94.600","7.883","35661.19","0.08352","0.03920"
"94.700","7.892","35668.05","0.08364","0.03926"
"94.800","7.900","35668.73","0.08376","0.03931"
"94.900","7.909","35673.65","0.08389","0.03936"
"95.000","7.917","35674.84","0.08401","0.03942"
"95.100","7.925","35679.61","0.08413","0.03947"
"95.200","7.934","35682.99","0.08425","0.03953"
"95.300","7.942","35686.39","0.08437","0.03958"
"95.400","7.950","35685.96","0.08449","0.03963"
"95.500","7.959","35691.52","0.08462","0.03969"
"95.600","7.967","35692.90","0.08474","0.03974"
"95.700","7.975","35698.14","0.08486","0.03980"
"95.800","7.984","35702.43","0.08499","0.03985"
"95.900","7.992","35699.64","0.08511","0.03990"
"96.000","8.000","35703.47","0.08523","0.03996"
"96.100","8.009","35707.69","0.08535","0.04001"
"96.200","8.017","35706.70","0.08547","0.04006"
"96.300","8.025","35712.80","0.08560","0.04012"
"96.400","8.034","35715.26","0.08572","0.04017"
"96.500","8.042","35718.45","0.08584","0.04023"
"96.600","8.050","35720.40","0.08597","0.04028"
"96.700","8.059","35720.78","0.08608","0.04033"
"96.800","8.067","35727.88","0.08621","0.04039"
"96.900","8.075","35734.93","0.08634","0.04044"
"97.000","8.084","35734.31","0.08646","0.04050"
"97.100","8.092","35736.27","0.08657","0.04055"
"97.200","8.100","35740.50","0.08670","0.04061"
"97.300","8.109","35747.26","0.08682","0.04066"
"97.400","8.117","35754.82","0.08695","0.04072"
"97.500","8.125","35746.72","0.08707","0.04077"
"97.600","8.134","35755.39","0.08719","0.04082"
"97.700","8.142","35765.39","0.08731","0.04088"
"97.800","8.150","35763.88","0.08744","0.04093"
"97.900","8.159","35773.41","0.08756","0.04099"
"98.000","8.167","35780.11","0.08768","0.04104"
"98.100","8.175","35792.59","0.08780","0.04109"
"98.200","8.184","35789.76","0.08792","0.04115"
"98.300","8.192","35797.09","0.08804","0.04120"
"98.400","8.200","35810.98","0.08816","0.04125"
"98.500","8.209","35831.15","0.08829","0.04131"
"98.600","8.217","35835.94","0.08841","0.04136"
"98.700","8.225","35831.06","0.08853","0.04142"
"98.800","8.233","35852.93","0.08865","0.04147"
"98.900","8.242","35870.66","0.08878","0.04152"
"99.000","8.250","35874.30","0.08890","0.04158"
"99.100","8.259","35881.02","0.08903","0.04163"
"99.200","8.267","35888.90","0.08915","0.04168"
"99.300","8.275","35891.55","0.08928","0.04173"
"99.400","8.284","35901.64","0.08939","0.04179"
"99.500","8.292","35909.87","0.08952","0.04184"
"99.600","8.300","35912.54","0.08964","0.04190"
"99.700","8.309","35917.24","0.08977","0.04195"
"99.800","8.317","35923.14","0.08989","0.04200"
"99.900","8.325","35926.89","0.09002","0.04205"
"100.000","8.333","35934.12","0.09014","0.04211"
"100.100","8.342","35935.91","0.09026","0.04216"
"100.200","8.350","35943.66","0.09039","0.04222"
"100.300","8.358","35943.85","0.09051","0.04227"
"100.400","8.367","35949.52","0.09064","0.04233"
"100.500","8.375","35953.10","0.09076","0.04238"
"100.600","8.384","35953.29","0.09089","0.04243"
"100.700","8.392","35953.55","0.09102","0.04248"
"100.800","8.400","35970.01","0.09114","0.04253"
"100.900","8.409","35966.26","0.09126","0.04258"
"101.000","8.417","35975.44","0.09138","0.04263"
"101.100","8.425","35994.63","0.09151","0.04269"
"101.200","8.434","35994.08","0.09163","0.04274"
"101.300","8.442","35994.26","0.09176","0.04279"
"101.400","8.450","36001.00","0.09188","0.04285"
"101.500","8.459","36008.83","0.09201","0.04290"
"101.600","8.467","36009.13","0.09214","0.04295"
"101.700","8.475","36016.81","0.09226","0.04300"
"101.800","8.484","36027.03","0.09239","0.04306"
"101.900","8.492","36026.15","0.09251","0.04311"
"102.000","8.500","36031.83","0.09263","0.04316"
"102.100","8.509","36042.84","0.09276","0.04321"
"102.200","8.517","36046.50","0.09289","0.04326"
"102.300","8.525","36045.31","0.09301","0.04331"
"102.400","8.534","36047.35","0.09314","0.04337"
"102.500","8.542","36046.36","0.09326","0.04342"
"102.600","8.550","36058.61","0.09339","0.04348"
"102.700","8.559","36060.05","0.09352","0.04353"
"102.800","8.567","36053.51","0.09364","0.04358"
"102.900","8.575","36058.19","0.09376","0.04364"
"103.000","8.584","36064.68","0.09389","0.04369"
"103.100","8.592","36067.33","0.09401","0.04374"
"103.200","8.600","36070.99","0.09414","0.04379"
"103.300","8.609","36073.66","0.09426","0.04384"
"103.400","8.617","36078.36","0.09439","0.04390"
"103.500","8.625","36087.25","0.09451","0.04395"
"103.600","8.634","36082.59","0.09463","0.04401"
"103.700","8.642","36086.39","0.09476","0.04406"
"103.800","8.650","36100.81","0.09488","0.04411"
"103.900","8.659","36102.18","0.09501","0.04417"
"104.000","8.667","36104.80","0.09514","0.04422"
"104.100","8.675","36114.55","0.09526","0.04427"
"104.200","8.684","36111.02","0.09539","0.04433"
"104.300","8.692","36125.32","0.09551","0.04438"
"104.400","8.700","36133.83","0.09564","0.04443"
"104.500","8.709","36138.66","0.09576","0.04448"
"104.600","8.717","36139.38","0.09589","0.04454"
"104.700","8.725","36135.25","0.09601","0.04459"
"104.800","8.734","36140.89","0.09614","0.04465"
"104.900","8.742","36143.08","0.09627","0.04471"
"105.000","8.750","36148.51","0.09640","0.04476"
"105.100","8.759","36147.12","0.09652","0.04482"
"105.200","8.767","36149.47","0.09664","0.04487"
"105.300","8.775","36153.29","0.09677","0.04492"
"105.400","8.784","36153.20","0.09690","0.04498"
"105.500","8.792","36153.67","0.09702","0.04503"
"105.600","8.800","36154.20","0.09715","0.04509"
"105.700","8.809","36154.06","0.09727","0.04515"
"105.800","8.817","36154.62","0.09739","0.04520"
"105.900","8.825","36154.30","0.09752","0.04526"
"106.000","8.834","36155.96","0.09765","0.04531"
"106.100","8.842","36159.85","0.09777","0.04537"
"106.200","8.850","36158.84","0.09790","0.04543"
"106.300","8.858","36160.35","0.09803","0.04548"
"106.400","8.867","36159.74","0.09815","0.04554"
"106.500","8.875","36162.69","0.09828","0.04559"
"106.600","8.884","36163.66","0.09840","0.04565"
"106.700","8.892","36165.26","0.09853","0.04571"
"106.800","8.900","36167.07","0.09865","0.04576"
"106.900","8.908","36166.54","0.09878","0.04582"
"107.000","8.917","36172.60","0.09890","0.04588"
"107.100","8.925","36171.20","0.09904","0.04594"
"107.200","8.934","36170.12","0.09916","0.04599"
"107.300","8.942","36173.55","0.09929","0.04605"
"107.400","8.950","36176.24","0.09942","0.04611"
"107.500","8.959","36176.32","0.09954","0.04617"
"107.600","8.967","36176.46","0.09967","0.04622"
"107.700","8.975","36183.83","0.09979","0.04628"
"107.800","8.984","36189.45","0.09992","0.04634"
"107.900","8.992","36183.15","0.10005","0.04640"
"108.000","9.000","36185.23","0.10017","0.04645"
"108.100","9.009","36187.17","0.10030","0.04651"
"108.200","9.017","36193.20","0.10043","0.04657"
"108.300","9.025","36195.27","0.10055","0.04662"
"108.400","9.034","36191.76","0.10068","0.04668"
