Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,1.26,0,0
0.1,0.003,0.71,0,0
0.2,0.013,52.29,0.00003,0.00001
0.3,0.024,155.28,0.00006,0.00003
0.4,0.034,273.77,0.00009,0.00004
0.5,0.042,346.17,0.00011,0.00005
0.6,0.05,406.21,0.00013,0.00006
0.7,0.058,442.71,0.00015,0.00006
0.8,0.067,487.31,0.00017,0.00007
0.9,0.075,503.96,0.00018,0.00008
1,0.083,507.23,0.0002,0.00008
1.1,0.092,521.07,0.00021,0.00009
1.2,0.1,536.34,0.00022,0.00009
1.3,0.109,556.08,0.00024,0.0001
1.4,0.117,573.38,0.00025,0.0001
1.5,0.125,592.11,0.00025,0.0001
1.6,0.134,615.72,0.00026,0.00011
1.7,0.142,639.96,0.00027,0.00011
1.8,0.15,674.97,0.00028,0.00011
1.9,0.158,702.89,0.00028,0.00011
2,0.167,718.05,0.00029,0.00011
2.1,0.175,734.75,0.00029,0.00011
2.2,0.183,744.66,0.0003,0.00012
2.3,0.192,753.81,0.0003,0.00012
2.4,0.2,762.83,0.0003,0.00012
2.5,0.209,764.3,0.00031,0.00012
2.6,0.217,767.62,0.00031,0.00012
2.7,0.225,771.68,0.00031,0.00012
2.8,0.233,780.92,0.00032,0.00012
2.9,0.242,783.86,0.00032,0.00012
3,0.25,789.73,0.00032,0.00012
3.1,0.259,796.86,0.00033,0.00012
3.2,0.267,801.39,0.00033,0.00012
3.3,0.275,804.82,0.00033,0.00012
3.4,0.283,809.9,0.00033,0.00013
3.5,0.292,808.74,0.00033,0.00013
3.6,0.3,810.55,0.00033,0.00013
3.7,0.308,811.36,0.00034,0.00013
3.8,0.317,813.97,0.00033,0.00013
3.9,0.325,818.56,0.00034,0.00013
4,0.333,823.71,0.00034,0.00013
4.1,0.342,827.15,0.00034,0.00013
4.2,0.35,835.21,0.00034,0.00013
4.3,0.358,837.2,0.00034,0.00013
4.4,0.367,837.47,0.00034,0.00013
4.5,0.375,843.74,0.00035,0.00013
4.6,0.383,847.99,0.00035,0.00013
4.7,0.392,856.78,0.00035,0.00013
4.8,0.4,866.65,0.00035,0.00013
4.9,0.408,871.01,0.00036,0.00014
5,0.417,881.78,0.00036,0.00014
5.1,0.425,891.94,0.00036,0.00014
5.2,0.433,898.24,0.00037,0.00014
5.3,0.442,916.11,0.00037,0.00014
5.4,0.45,941.12,0.00037,0.00014
5.5,0.458,957.71,0.00038,0.00014
5.6,0.467,972.17,0.00038,0.00015
5.7,0.475,993.75,0.00038,0.00015
5.8,0.484,1011.98,0.00038,0.00015
5.9,0.492,1019.47,0.00039,0.00015
6,0.5,1035.74,0.00039,0.00015
6.1,0.508,1045.89,0.0004,0.00015
6.2,0.517,1055.6,0.0004,0.00015
6.3,0.525,1062.97,0.0004,0.00016
6.4,0.533,1066.53,0.00041,0.00016
6.5,0.542,1072.38,0.00041,0.00016
6.6,0.55,1076.91,0.00041,0.00016
6.7,0.558,1081.21,0.00042,0.00016
6.8,0.567,1094.75,0.00042,0.00017
6.9,0.575,1100.48,0.00043,0.00017
7,0.583,1107.22,0.00044,0.00017
7.1,0.592,1111.03,0.00044,0.00017
7.2,0.6,1114.85,0.00044,0.00017
7.3,0.608,1119.23,0.00045,0.00018
7.4,0.617,1121.2,0.00045,0.00018
7.5,0.625,1123.13,0.00046,0.00018
7.6,0.633,1125.63,0.00046,0.00018
7.7,0.642,1127.73,0.00047,0.00018
7.8,0.65,1137.69,0.00047,0.00019
7.9,0.658,1146.19,0.00048,0.00019
8,0.667,1162.89,0.00048,0.00019
8.1,0.675,1175.73,0.00049,0.00019
8.2,0.683,1192.94,0.00049,0.00019
8.3,0.692,1208.25,0.0005,0.0002
8.4,0.7,1223.32,0.0005,0.0002
8.5,0.708,1241.32,0.00051,0.0002
8.6,0.717,1252.9,0.00051,0.0002
8.7,0.725,1272.29,0.00052,0.00021
8.8,0.733,1284.19,0.00052,0.00021
8.9,0.742,1304.66,0.00053,0.00021
9,0.75,1319.58,0.00053,0.00021
9.1,0.758,1339.32,0.00054,0.00021
9.2,0.767,1352.88,0.00054,0.00022
9.3,0.775,1360.42,0.00055,0.00022
9.4,0.783,1372.75,0.00055,0.00022
9.5,0.792,1389.15,0.00056,0.00022
9.6,0.8,1414.91,0.00057,0.00022
9.7,0.808,1438.49,0.00057,0.00023
9.8,0.817,1469.68,0.00057,0.00023
9.9,0.825,1503.18,0.00058,0.00023
10,0.833,1526.51,0.00059,0.00023
10.1,0.842,1548.04,0.00059,0.00024
10.2,0.85,1558.32,0.0006,0.00024
10.3,0.858,1565.95,0.00061,0.00024
10.4,0.867,1572.02,0.00061,0.00024
10.5,0.875,1582.16,0.00062,0.00025
10.6,0.883,1593.62,0.00062,0.00025
10.7,0.892,1603.58,0.00063,0.00025
10.8,0.9,1620.14,0.00064,0.00025
10.9,0.908,1638.68,0.00064,0.00026
11,0.917,1650.71,0.00065,0.00026
11.1,0.925,1671.22,0.00066,0.00026
11.2,0.933,1683.42,0.00066,0.00026
11.3,0.942,1701.12,0.00067,0.00027
11.4,0.95,1732.78,0.00067,0.00027
11.5,0.958,1758.21,0.00068,0.00027
11.6,0.967,1775.43,0.00069,0.00027
11.7,0.975,1793.77,0.00069,0.00028
11.8,0.983,1804.2,0.0007,0.00028
11.9,0.992,1826.53,0.00071,0.00028
12,1,1845.57,0.00071,0.00029
12.1,1.008,1855.49,0.00072,0.00029
12.2,1.017,1881.85,0.00073,0.00029
12.3,1.025,1894.88,0.00073,0.00029
12.4,1.033,1907.59,0.00074,0.0003
12.5,1.042,1919.45,0.00074,0.0003
12.6,1.05,1936.31,0.00075,0.0003
12.7,1.059,1966.06,0.00076,0.0003
12.8,1.067,1989.88,0.00076,0.00031
12.9,1.075,2011.14,0.00077,0.00031
13,1.083,2033.03,0.00077,0.00031
13.1,1.092,2044.36,0.00078,0.00031
13.2,1.1,2056.62,0.00079,0.00032
13.3,1.108,2066.04,0.00079,0.00032
13.4,1.117,2067.87,0.0008,0.00032
13.5,1.125,2073.48,0.0008,0.00032
13.6,1.133,2079.25,0.00081,0.00033
13.7,1.142,2085.51,0.00082,0.00033
13.8,1.15,2094.95,0.00082,0.00033
13.9,1.158,2101.2,0.00083,0.00034
14,1.167,2121.46,0.00084,0.00034
14.1,1.175,2138.7,0.00084,0.00034
14.2,1.183,2168.07,0.00085,0.00034
14.3,1.192,2201.09,0.00086,0.00035
14.4,1.2,2237.32,0.00086,0.00035
14.5,1.208,2270.44,0.00087,0.00035
14.6,1.217,2293.77,0.00088,0.00035
14.7,1.225,2321.7,0.00088,0.00036
14.8,1.233,2355.28,0.00089,0.00036
14.9,1.242,2385.94,0.0009,0.00036
15,1.25,2412.83,0.0009,0.00037
15.1,1.258,2436.31,0.00091,0.00037
15.2,1.267,2454.66,0.00092,0.00037
