Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,1.92,0,0
0.1,0.004,4.83,0,0
0.2,0.014,113.29,0.00003,0.00001
0.3,0.024,231.05,0.00006,0.00002
0.4,0.034,318.22,0.00008,0.00003
0.5,0.042,368.46,0.0001,0.00004
0.6,0.05,419.97,0.00012,0.00005
0.7,0.059,438,0.00014,0.00005
0.8,0.067,452.88,0.00015,0.00006
0.9,0.075,489.85,0.00017,0.00007
1,0.084,526.05,0.00018,0.00007
1.1,0.092,597.6,0.0002,0.00008
1.2,0.1,671.42,0.00021,0.00008
1.3,0.109,719.72,0.00022,0.00009
1.4,0.117,759.53,0.00023,0.00009
1.5,0.125,796.46,0.00024,0.0001
1.6,0.133,837.61,0.00025,0.0001
1.7,0.142,877.37,0.00026,0.0001
1.8,0.15,916.48,0.00026,0.0001
1.9,0.159,936.34,0.00027,0.00011
2,0.167,955.76,0.00027,0.00011
2.1,0.175,969.98,0.00027,0.00011
2.2,0.183,980.37,0.00028,0.00011
2.3,0.192,987.65,0.00028,0.00011
2.4,0.2,998.12,0.00028,0.00011
2.5,0.209,1006.3,0.00029,0.00012
2.6,0.217,1017.25,0.00029,0.00012
2.7,0.225,1023.14,0.0003,0.00012
2.8,0.234,1028.79,0.00031,0.00012
2.9,0.242,1039.28,0.00031,0.00012
3,0.25,1043.96,0.00031,0.00012
3.1,0.259,1045.49,0.00032,0.00013
3.2,0.267,1051.37,0.00032,0.00013
3.3,0.275,1055.53,0.00033,0.00013
3.4,0.284,1059.99,0.00033,0.00013
3.5,0.292,1076.13,0.00034,0.00014
3.6,0.3,1087.66,0.00034,0.00014
3.7,0.308,1104.77,0.00035,0.00014
3.8,0.317,1118.91,0.00035,0.00014
3.9,0.325,1140.05,0.00036,0.00014
4,0.334,1154.63,0.00037,0.00015
4.1,0.342,1166.73,0.00037,0.00015
4.2,0.35,1187.32,0.00037,0.00015
4.3,0.358,1202.23,0.00038,0.00015
4.4,0.367,1221.64,0.00039,0.00016
4.5,0.375,1236.09,0.00039,0.00016
4.6,0.384,1262.28,0.0004,0.00016
4.7,0.392,1279.57,0.0004,0.00016
4.8,0.4,1303.84,0.00041,0.00016
4.9,0.408,1323.11,0.00041,0.00017
5,0.417,1344.02,0.00042,0.00017
5.1,0.425,1365.6,0.00043,0.00017
5.2,0.433,1389.54,0.00043,0.00017
5.3,0.442,1421.99,0.00043,0.00018
5.4,0.45,1446.9,0.00044,0.00018
5.5,0.458,1471.29,0.00045,0.00018
5.6,0.467,1489.4,0.00045,0.00018
5.7,0.475,1501.3,0.00046,0.00018
5.8,0.484,1507.38,0.00046,0.00019
5.9,0.492,1515.96,0.00047,0.00019
6,0.5,1527.98,0.00048,0.00019
6.1,0.509,1542.36,0.00048,0.00019
6.2,0.517,1556.67,0.00049,0.0002
6.3,0.525,1573.42,0.00049,0.0002
6.4,0.534,1597.83,0.0005,0.0002
6.5,0.542,1615.1,0.00051,0.00021
6.6,0.55,1637.64,0.00051,0.00021
6.7,0.558,1663.32,0.00052,0.00021
6.8,0.567,1695.49,0.00052,0.00021
6.9,0.575,1718.29,0.00053,0.00021
7,0.583,1737.2,0.00053,0.00022
7.1,0.592,1751.09,0.00054,0.00022
7.2,0.6,1766.16,0.00054,0.00022
7.3,0.609,1780.53,0.00055,0.00022
7.4,0.617,1806.7,0.00056,0.00023
7.5,0.625,1819.15,0.00057,0.00023
7.6,0.633,1847.06,0.00057,0.00023
7.7,0.642,1875.35,0.00058,0.00023
7.8,0.65,1901.79,0.00059,0.00024
7.9,0.659,1932.08,0.00059,0.00024
8,0.667,1952.89,0.0006,0.00024
8.1,0.675,1967.06,0.0006,0.00024
8.2,0.684,1984.2,0.00061,0.00025
8.3,0.692,1993.45,0.00062,0.00025
8.4,0.7,2001.75,0.00062,0.00025
8.5,0.708,2012.2,0.00063,0.00026
8.6,0.717,2018.26,0.00064,0.00026
8.7,0.725,2023.47,0.00064,0.00026
8.8,0.733,2029.2,0.00064,0.00026
8.9,0.742,2036.96,0.00065,0.00026
9,0.75,2049.48,0.00065,0.00027
9.1,0.758,2061.09,0.00066,0.00027
9.2,0.767,2088.05,0.00067,0.00027
9.3,0.775,2115.08,0.00067,0.00027
9.4,0.784,2145.99,0.00067,0.00027
9.5,0.792,2172.18,0.00068,0.00028
9.6,0.8,2200.14,0.00068,0.00028
9.7,0.809,2228.43,0.00069,0.00028
9.8,0.817,2253.28,0.0007,0.00028
9.9,0.825,2277.51,0.0007,0.00028
10,0.834,2301.28,0.0007,0.00029
10.1,0.842,2324.74,0.00071,0.00029
10.2,0.85,2346.21,0.00071,0.00029
10.3,0.859,2361.61,0.00072,0.00029
10.4,0.867,2378.6,0.00073,0.00029
10.5,0.875,2390.6,0.00073,0.0003
10.6,0.884,2399.58,0.00074,0.0003
10.7,0.892,2410.6,0.00074,0.0003
10.8,0.9,2424.93,0.00075,0.0003
10.9,0.909,2444.45,0.00075,0.0003
11,0.917,2466.83,0.00076,0.00031
11.1,0.925,2486.33,0.00076,0.00031
11.2,0.933,2501.94,0.00076,0.00031
11.3,0.942,2518.74,0.00077,0.00031
11.4,0.95,2529.53,0.00078,0.00032
11.5,0.959,2537.21,0.00078,0.00032
11.6,0.967,2544.21,0.00079,0.00032
11.7,0.975,2554.1,0.00079,0.00032
11.8,0.983,2565.49,0.0008,0.00032
11.9,0.992,2574.58,0.0008,0.00033
12,1,2583.81,0.00081,0.00033
12.1,1.009,2590.91,0.00081,0.00033
12.2,1.017,2599.62,0.00082,0.00033
12.3,1.025,2605.77,0.00082,0.00033
12.4,1.033,2621.06,0.00083,0.00034
12.5,1.042,2642.43,0.00084,0.00034
12.6,1.05,2663.67,0.00084,0.00034
12.7,1.059,2695.08,0.00084,0.00034
12.8,1.067,2715.36,0.00085,0.00034
12.9,1.075,2737.87,0.00085,0.00035
13,1.084,2754.93,0.00086,0.00035
13.1,1.092,2772.84,0.00086,0.00035
13.2,1.1,2791.5,0.00087,0.00035
13.3,1.109,2812.26,0.00087,0.00036
13.4,1.117,2837.48,0.00088,0.00036
13.5,1.125,2861.91,0.00089,0.00036
